Far field
"Plane Wave Phi"[deg]	"Magnitude [dBV]"	"Phase [deg]"	
8.00000000E+00	-1.14285631E+02	-1.72867821E+02	
9.00000000E+00	-1.13889879E+02	-7.44124499E+01	
1.00000000E+01	-1.12908727E+02	1.89735095E+01	
1.10000000E+01	-1.12344789E+02	1.07976191E+02	
1.20000000E+01	-1.12351359E+02	-1.60528840E+02	
1.30000000E+01	-1.11948869E+02	-6.60240544E+01	
1.40000000E+01	-1.11066399E+02	2.71368693E+01	
1.50000000E+01	-1.10286718E+02	1.17195361E+02	
1.60000000E+01	-1.09865217E+02	-1.51726806E+02	
1.70000000E+01	-1.09213855E+02	-5.87018800E+01	
1.80000000E+01	-1.08298948E+02	3.25385147E+01	
1.90000000E+01	-1.07662161E+02	1.21682922E+02	
2.00000000E+01	-1.07390775E+02	-1.48749998E+02	
2.10000000E+01	-1.07169850E+02	-5.67133642E+01	
2.20000000E+01	-1.06583727E+02	3.48227668E+01	
2.30000000E+01	-1.06025961E+02	1.23703553E+02	
2.40000000E+01	-1.05880658E+02	-1.48756090E+02	
2.50000000E+01	-1.05896364E+02	-5.98439963E+01	
2.60000000E+01	-1.05794145E+02	2.91458694E+01	
2.70000000E+01	-1.05627603E+02	1.16039670E+02	
2.80000000E+01	-1.05848655E+02	-1.58977306E+02	
2.90000000E+01	-1.06420804E+02	-7.29342994E+01	
3.00000000E+01	-1.06926343E+02	1.51236736E+01	
3.10000000E+01	-1.06959902E+02	1.01856010E+02	
3.20000000E+01	-1.06995108E+02	-1.75530810E+02	
3.30000000E+01	-1.07489644E+02	-9.58247125E+01	
3.40000000E+01	-1.08419212E+02	-1.70229105E+01	
3.50000000E+01	-1.09593291E+02	6.20262475E+01	
3.60000000E+01	-1.10919626E+02	1.39594275E+02	
3.70000000E+01	-1.12570126E+02	-1.44143622E+02	
3.80000000E+01	-1.14590127E+02	-6.86856106E+01	
3.90000000E+01	-1.16496556E+02	6.92917811E+00	
4.00000000E+01	-1.17357442E+02	7.72033428E+01	
4.10000000E+01	-1.17318624E+02	1.36197017E+02	
4.20000000E+01	-1.16486543E+02	-1.74020163E+02	
4.30000000E+01	-1.15151463E+02	-1.23985728E+02	
4.40000000E+01	-1.13718906E+02	-6.93990802E+01	
4.50000000E+01	-1.12439591E+02	-8.30400229E+00	
4.60000000E+01	-1.11185067E+02	5.44166027E+01	
4.70000000E+01	-1.10026681E+02	1.17859935E+02	
4.80000000E+01	-1.09233878E+02	-1.79834482E+02	
4.90000000E+01	-1.08901685E+02	-1.16645907E+02	
5.00000000E+01	-1.08842671E+02	-5.17149307E+01	
5.10000000E+01	-1.08569421E+02	1.54070134E+01	
5.20000000E+01	-1.07790647E+02	8.17865183E+01	
5.30000000E+01	-1.06704022E+02	1.43541858E+02	
5.40000000E+01	-1.05824208E+02	-1.59307795E+02	
5.50000000E+01	-1.05380456E+02	-1.05365889E+02	
5.60000000E+01	-1.05423079E+02	-5.25863937E+01	
5.70000000E+01	-1.05802302E+02	2.52857167E-02	
5.80000000E+01	-1.06336958E+02	5.30495104E+01	
5.90000000E+01	-1.06825425E+02	1.06335629E+02	
6.00000000E+01	-1.07171668E+02	1.58267100E+02	
6.10000000E+01	-1.07463852E+02	-1.52188616E+02	
6.20000000E+01	-1.07893592E+02	-1.04810010E+02	
6.30000000E+01	-1.08529618E+02	-5.98793707E+01	
6.40000000E+01	-1.09420483E+02	-1.56513486E+01	
6.50000000E+01	-1.10530471E+02	2.82710375E+01	
6.60000000E+01	-1.11654901E+02	7.22776638E+01	
6.70000000E+01	-1.12525096E+02	1.16478631E+02	
6.80000000E+01	-1.13080317E+02	1.58563726E+02	
6.90000000E+01	-1.13306238E+02	-1.63020932E+02	
7.00000000E+01	-1.13485823E+02	-1.29182395E+02	
7.10000000E+01	-1.13735832E+02	-1.00567982E+02	
7.20000000E+01	-1.14128109E+02	-7.66190011E+01	
7.30000000E+01	-1.14569058E+02	-5.68645781E+01	
7.40000000E+01	-1.15070441E+02	-4.12201697E+01	
7.50000000E+01	-1.15358548E+02	-2.94479153E+01	
7.60000000E+01	-1.15403557E+02	-1.95080565E+01	
7.70000000E+01	-1.15206694E+02	-1.12677863E+01	
7.80000000E+01	-1.14740694E+02	-3.14274371E+00	
7.90000000E+01	-1.14345762E+02	5.70257143E+00	
8.00000000E+01	-1.13926424E+02	1.44343111E+01	
8.10000000E+01	-1.13657862E+02	2.31293067E+01	
8.20000000E+01	-1.13514294E+02	3.12564091E+01	
8.30000000E+01	-1.13542269E+02	3.85417945E+01	
8.40000000E+01	-1.13714471E+02	4.51742448E+01	
8.50000000E+01	-1.14086813E+02	5.02404371E+01	
8.60000000E+01	-1.14671420E+02	5.40726532E+01	
8.70000000E+01	-1.15468154E+02	5.61533793E+01	
8.80000000E+01	-1.16463060E+02	5.60159727E+01	
8.90000000E+01	-1.17804531E+02	5.35734244E+01	
9.00000000E+01	-1.19500960E+02	4.71612857E+01	
9.10000000E+01	-1.21667412E+02	3.60953735E+01	
9.20000000E+01	-1.24034796E+02	1.59799722E+01	
9.30000000E+01	-1.25627923E+02	-1.57350883E+01	
9.40000000E+01	-1.25024602E+02	-5.37310491E+01	
9.50000000E+01	-1.22708151E+02	-8.38925063E+01	
9.60000000E+01	-1.20536033E+02	-1.05360158E+02	
9.70000000E+01	-1.18713801E+02	-1.23345598E+02	
9.80000000E+01	-1.17335642E+02	-1.41112308E+02	
9.90000000E+01	-1.16244553E+02	-1.59254710E+02	
1.00000000E+02	-1.15503192E+02	-1.78194227E+02	
1.01000000E+02	-1.15020614E+02	1.60950808E+02	
1.02000000E+02	-1.14793394E+02	1.38571315E+02	
1.03000000E+02	-1.14729671E+02	1.13505350E+02	
1.04000000E+02	-1.14816729E+02	8.56385290E+01	
1.05000000E+02	-1.14831763E+02	5.47955020E+01	
1.06000000E+02	-1.14807113E+02	2.11074247E+01	
1.07000000E+02	-1.14472832E+02	-1.48397936E+01	
1.08000000E+02	-1.13924623E+02	-5.20471519E+01	
1.09000000E+02	-1.13166487E+02	-8.87148078E+01	
1.10000000E+02	-1.12483067E+02	-1.24755542E+02	
1.11000000E+02	-1.11950400E+02	-1.60453717E+02	
1.12000000E+02	-1.11673902E+02	1.63390263E+02	
1.13000000E+02	-1.11782704E+02	1.25939404E+02	
1.14000000E+02	-1.12332025E+02	8.58137845E+01	
1.15000000E+02	-1.13176314E+02	4.17636932E+01	
1.16000000E+02	-1.14150255E+02	-8.79290752E+00	
1.17000000E+02	-1.14379473E+02	-6.61635399E+01	
1.18000000E+02	-1.13395369E+02	-1.23855848E+02	
1.19000000E+02	-1.11805642E+02	-1.76881700E+02	
1.20000000E+02	-1.10402580E+02	1.34758154E+02	
1.21000000E+02	-1.09513210E+02	8.77669551E+01	
1.22000000E+02	-1.09102870E+02	4.04031304E+01	
1.23000000E+02	-1.09094838E+02	-9.10766078E+00	
1.24000000E+02	-1.09323385E+02	-6.24040245E+01	
1.25000000E+02	-1.09399753E+02	-1.18870260E+02	
1.26000000E+02	-1.09191649E+02	-1.77277600E+02	
1.27000000E+02	-1.08706492E+02	1.24609446E+02	
1.28000000E+02	-1.08321934E+02	6.72097368E+01	
1.29000000E+02	-1.08232925E+02	9.00562431E+00	
1.30000000E+02	-1.08334210E+02	-5.16102308E+01	
1.31000000E+02	-1.08288935E+02	-1.15751446E+02	
1.32000000E+02	-1.07906447E+02	1.78909313E+02	
1.33000000E+02	-1.07264181E+02	1.14075991E+02	
1.34000000E+02	-1.06725197E+02	5.08662803E+01	
1.35000000E+02	-1.06460424E+02	-1.23642776E+01	
1.36000000E+02	-1.06512647E+02	-7.72077150E+01	
1.37000000E+02	-1.06714140E+02	-1.44284100E+02	
1.38000000E+02	-1.06837764E+02	1.46915100E+02	
1.39000000E+02	-1.06941055E+02	7.75433605E+01	
1.40000000E+02	-1.07136457E+02	7.39670332E+00	
1.41000000E+02	-1.07488276E+02	-6.41192897E+01	
1.42000000E+02	-1.07781709E+02	-1.37652521E+02	
1.43000000E+02	-1.07792164E+02	1.47767895E+02	
1.44000000E+02	-1.07674088E+02	7.42128565E+01	
1.45000000E+02	-1.07599043E+02	1.69102227E+00	
1.46000000E+02	-1.07733325E+02	-7.19766929E+01	
1.47000000E+02	-1.07779437E+02	-1.47544912E+02	
1.48000000E+02	-1.07594281E+02	1.36032782E+02	
1.49000000E+02	-1.07308453E+02	5.97281719E+01	
1.50000000E+02	-1.07207194E+02	-1.73701974E+01	
1.51000000E+02	-1.07253260E+02	-9.73478379E+01	
1.52000000E+02	-1.07060852E+02	1.78801342E+02	
1.53000000E+02	-1.06415279E+02	9.43412908E+01	
1.54000000E+02	-1.05733893E+02	1.11843540E+01	
1.55000000E+02	-1.05363865E+02	-7.22349675E+01	
1.56000000E+02	-1.05295670E+02	-1.58207933E+02	
1.57000000E+02	-1.05102183E+02	1.12643915E+02	
1.58000000E+02	-1.04660707E+02	2.31713136E+01	
1.59000000E+02	-1.04327598E+02	-6.55795472E+01	
1.60000000E+02	-1.04276363E+02	-1.55317101E+02	
1.61000000E+02	-1.04251933E+02	1.12766849E+02	
1.62000000E+02	-1.04111485E+02	2.01723947E+01	
1.63000000E+02	-1.04068823E+02	-7.19710097E+01	
1.64000000E+02	-1.04238781E+02	-1.64837207E+02	
1.65000000E+02	-1.04422083E+02	1.00270405E+02	
1.66000000E+02	-1.04393977E+02	5.15414050E+00	
1.67000000E+02	-1.04470305E+02	-8.84650865E+01	
1.68000000E+02	-1.04914465E+02	1.77829698E+02	
1.69000000E+02	-1.05568140E+02	8.16441137E+01	
1.70000000E+02	-1.06032226E+02	-1.61080406E+01	
1.71000000E+02	-1.06423569E+02	-1.12896606E+02	
1.72000000E+02	-1.06998109E+02	1.49416776E+02	
1.73000000E+02	-1.07436574E+02	5.02390674E+01	
1.74000000E+02	-1.07542976E+02	-4.71770606E+01	
1.75000000E+02	-1.07954294E+02	-1.41333246E+02	
1.76000000E+02	-1.09202052E+02	1.23381259E+02	
1.77000000E+02	-1.10480197E+02	2.11808620E+01	
1.78000000E+02	-1.10578208E+02	-8.29949720E+01	
1.79000000E+02	-1.10316327E+02	1.79224296E+02	
1.80000000E+02	-1.10604138E+02	8.37475463E+01	
