Far field
"Plane Wave Phi"[deg]	"Magnitude [dBV]"	"Phase [deg]"	
2.26000000E+02	-1.19444540E+02	-1.53563399E+02	
2.27000000E+02	-1.26390204E+02	1.58149213E+02	
2.28000000E+02	-1.37392159E+02	-1.84279702E+01	
2.29000000E+02	-1.25112967E+02	-9.29501470E+01	
2.30000000E+02	-1.21687570E+02	-1.45228073E+02	
2.31000000E+02	-1.20281520E+02	1.59828450E+02	
2.32000000E+02	-1.19003569E+02	1.02681526E+02	
2.33000000E+02	-1.17536090E+02	4.88832008E+01	
2.34000000E+02	-1.16255081E+02	6.03297975E-01	
2.35000000E+02	-1.15598521E+02	-4.29955668E+01	
2.36000000E+02	-1.15731044E+02	-8.36164740E+01	
2.37000000E+02	-1.16727833E+02	-1.23011463E+02	
2.38000000E+02	-1.18736979E+02	-1.62753717E+02	
2.39000000E+02	-1.22029717E+02	1.54654350E+02	
2.40000000E+02	-1.27218860E+02	9.99960612E+01	
2.41000000E+02	-1.31294669E+02	4.12249617E+00	
2.42000000E+02	-1.26910481E+02	-7.82115702E+01	
2.43000000E+02	-1.23167204E+02	-1.29694931E+02	
2.44000000E+02	-1.20545690E+02	-1.73105332E+02	
2.45000000E+02	-1.18469541E+02	1.46927211E+02	
2.46000000E+02	-1.16655091E+02	1.10252204E+02	
2.47000000E+02	-1.15110781E+02	7.67749087E+01	
2.48000000E+02	-1.13790112E+02	4.63415664E+01	
2.49000000E+02	-1.12756742E+02	1.84881792E+01	
2.50000000E+02	-1.11971006E+02	-7.35787455E+00	
2.51000000E+02	-1.11425574E+02	-3.12487982E+01	
2.52000000E+02	-1.11108992E+02	-5.34992416E+01	
2.53000000E+02	-1.10993556E+02	-7.43751908E+01	
2.54000000E+02	-1.11055446E+02	-9.38582144E+01	
2.55000000E+02	-1.11280782E+02	-1.12165187E+02	
2.56000000E+02	-1.11659822E+02	-1.29279437E+02	
2.57000000E+02	-1.12181083E+02	-1.45255922E+02	
2.58000000E+02	-1.12826226E+02	-1.60130625E+02	
2.59000000E+02	-1.13613860E+02	-1.73849067E+02	
2.60000000E+02	-1.14524903E+02	1.73426954E+02	
2.61000000E+02	-1.15601626E+02	1.61819767E+02	
2.62000000E+02	-1.16843694E+02	1.51286670E+02	
2.63000000E+02	-1.18305523E+02	1.41714889E+02	
2.64000000E+02	-1.20067711E+02	1.32883707E+02	
2.65000000E+02	-1.22276250E+02	1.24769604E+02	
2.66000000E+02	-1.25219803E+02	1.16314586E+02	
2.67000000E+02	-1.29532587E+02	1.04454460E+02	
2.68000000E+02	-1.36770153E+02	7.01653176E+01	
2.69000000E+02	-1.34997553E+02	-1.95534432E+01	
2.70000000E+02	-1.28337051E+02	-4.20820674E+01	
