Far field
"Plane Wave Phi"[deg]	"Magnitude [dBV]"	"Phase [deg]"	
1.82000000E+02	-1.11926105E+02	1.92777816E+01	
1.83000000E+02	-1.13189581E+02	-5.05301120E+01	
1.84000000E+02	-1.14925489E+02	-9.90259271E+01	
1.85000000E+02	-1.17476223E+02	-1.21767549E+02	
1.86000000E+02	-1.21062582E+02	-1.13592810E+02	
1.87000000E+02	-1.22112065E+02	-5.54319180E+01	
1.88000000E+02	-1.18743758E+02	4.57733385E+01	
1.89000000E+02	-1.15522793E+02	1.59974850E+02	
1.90000000E+02	-1.12434988E+02	-6.31413571E+01	
1.91000000E+02	-1.10298389E+02	1.26031832E+02	
1.92000000E+02	-1.08875146E+02	4.95912609E+00	
1.93000000E+02	-1.07617952E+02	-6.11931006E+01	
1.94000000E+02	-1.07163801E+02	-6.43508857E+01	
1.95000000E+02	-1.07196558E+02	-1.00096630E+00	
1.96000000E+02	-1.07671910E+02	1.33259806E+02	
1.97000000E+02	-1.08951823E+02	-1.48315969E+01	
1.98000000E+02	-1.11451609E+02	-8.29203991E+01	
1.99000000E+02	-1.15403252E+02	-6.08294395E+01	
2.00000000E+02	-1.23321307E+02	7.61844546E+01	
2.01000000E+02	-1.20631652E+02	1.73910591E+01	
2.02000000E+02	-1.14573147E+02	-2.61412862E+01	
2.03000000E+02	-1.11082036E+02	1.98521855E+01	
2.04000000E+02	-1.08955594E+02	1.74984236E+02	
2.05000000E+02	-1.07743465E+02	7.81917036E+01	
2.06000000E+02	-1.07317746E+02	9.83122355E+01	
2.07000000E+02	-1.07413297E+02	-1.19663788E+02	
2.08000000E+02	-1.07888150E+02	1.44928391E+02	
2.09000000E+02	-1.08829984E+02	-1.77159965E+02	
2.10000000E+02	-1.10080439E+02	-1.06209222E+01	
2.11000000E+02	-1.11990106E+02	-6.66908060E+01	
2.12000000E+02	-1.14537604E+02	1.95450133E+01	
2.13000000E+02	-1.18075526E+02	-1.15256326E+02	
2.14000000E+02	-1.21731860E+02	-1.15099662E+02	
2.15000000E+02	-1.21667998E+02	2.28153311E+01	
2.16000000E+02	-1.17095609E+02	-2.87905632E+01	
2.17000000E+02	-1.13814356E+02	1.09277558E+02	
2.18000000E+02	-1.10964812E+02	6.26824797E+01	
2.19000000E+02	-1.09042622E+02	-1.70752870E+02	
2.20000000E+02	-1.07662696E+02	1.32803343E+02	
2.21000000E+02	-1.06730629E+02	-1.04826604E+02	
2.22000000E+02	-1.06221729E+02	-1.57831956E+02	
2.23000000E+02	-1.06203809E+02	-2.44329568E+01	
2.24000000E+02	-1.06536093E+02	-6.02097959E+01	
2.25000000E+02	-1.07396291E+02	9.62551665E+01	
2.26000000E+02	-1.08565824E+02	9.09343194E+01	
2.27000000E+02	-1.10197693E+02	-7.47105702E+01	
2.28000000E+02	-1.12442153E+02	-3.40378904E+01	
2.29000000E+02	-1.16261260E+02	-1.45688546E+02	
2.30000000E+02	-1.21192737E+02	-3.94825358E+01	
2.31000000E+02	-1.26289658E+02	-3.65281731E+01	
2.32000000E+02	-1.24399704E+02	1.72452705E+02	
2.33000000E+02	-1.20987656E+02	-1.47104665E+02	
2.34000000E+02	-1.19341179E+02	9.84468251E+01	
2.35000000E+02	-1.18488510E+02	-1.46522646E+02	
2.36000000E+02	-1.18776882E+02	-1.67301977E+02	
2.37000000E+02	-1.19418824E+02	3.46069428E+01	
2.38000000E+02	-1.20152356E+02	1.10500833E+02	
2.39000000E+02	-1.21025578E+02	6.11701963E+01	
2.40000000E+02	-1.23064547E+02	-1.10764697E+02	
2.41000000E+02	-1.24381389E+02	-4.01416038E+01	
2.42000000E+02	-1.25003673E+02	-8.65268016E+01	
2.43000000E+02	-1.24755644E+02	1.23504306E+02	
2.44000000E+02	-1.24112871E+02	-1.49962088E+02	
2.45000000E+02	-1.23325503E+02	-1.58989301E+02	
2.46000000E+02	-1.22579311E+02	7.23876660E+01	
2.47000000E+02	-1.22418095E+02	-1.66463731E+02	
2.48000000E+02	-1.23388600E+02	-1.44336045E+02	
2.49000000E+02	-1.23673029E+02	1.33896431E+02	
2.50000000E+02	-1.24480658E+02	-5.78982196E+01	
2.51000000E+02	-1.26067188E+02	-7.99018479E+00	
2.52000000E+02	-1.26035258E+02	-7.07760596E+01	
2.53000000E+02	-1.21563948E+02	1.52757740E+02	
2.54000000E+02	-1.18171124E+02	-6.61410579E+01	
2.55000000E+02	-1.15683739E+02	-1.15849982E+01	
2.56000000E+02	-1.13198050E+02	-4.63939722E+01	
2.57000000E+02	-1.11585498E+02	-1.70203630E+02	
2.58000000E+02	-1.10341598E+02	-2.28333194E+01	
2.59000000E+02	-1.09503778E+02	3.65677187E+01	
2.60000000E+02	-1.08728911E+02	8.20830531E+00	
2.61000000E+02	-1.08298083E+02	-1.07874987E+02	
2.62000000E+02	-1.08165666E+02	5.26773172E+01	
2.63000000E+02	-1.08169630E+02	1.27347128E+02	
2.64000000E+02	-1.08329274E+02	1.15795111E+02	
2.65000000E+02	-1.08663640E+02	2.09053685E+01	
2.66000000E+02	-1.08918773E+02	-1.58885203E+02	
2.67000000E+02	-1.09255227E+02	-6.17205534E+01	
2.68000000E+02	-1.09512269E+02	-4.76868209E+01	
2.69000000E+02	-1.09771106E+02	-1.15684579E+02	
2.70000000E+02	-1.09935253E+02	9.30676430E+01	
2.71000000E+02	-1.10085049E+02	-1.38516163E+02	
2.72000000E+02	-1.10150130E+02	-9.26155327E+01	
2.73000000E+02	-1.10492137E+02	-1.27693352E+02	
2.74000000E+02	-1.10818004E+02	1.15158460E+02	
2.75000000E+02	-1.11394732E+02	-8.43433999E+01	
2.76000000E+02	-1.11952497E+02	-1.00767239E+01	
2.77000000E+02	-1.12581999E+02	-1.57442250E+01	
2.78000000E+02	-1.13173002E+02	-1.09755886E+02	
2.79000000E+02	-1.14132085E+02	7.23763415E+01	
2.80000000E+02	-1.14777767E+02	1.69115161E+02	
2.81000000E+02	-1.15488201E+02	-1.77151400E+02	
2.82000000E+02	-1.16729547E+02	1.07991249E+02	
2.83000000E+02	-1.17410156E+02	-5.26621667E+01	
2.84000000E+02	-1.19044727E+02	5.96845109E+01	
2.85000000E+02	-1.20961465E+02	8.58900293E+01	
2.86000000E+02	-1.23579363E+02	3.24979267E+01	
2.87000000E+02	-1.26920882E+02	-9.92104380E+01	
2.88000000E+02	-1.24947152E+02	5.12170371E+01	
2.89000000E+02	-1.21811809E+02	8.15582863E+01	
2.90000000E+02	-1.19499988E+02	2.52252955E+00	
2.91000000E+02	-1.17420567E+02	-1.79850963E+02	
2.92000000E+02	-1.16108096E+02	-1.03546381E+02	
2.93000000E+02	-1.15142813E+02	-1.34616752E+02	
2.94000000E+02	-1.14674739E+02	8.99025820E+01	
2.95000000E+02	-1.14599741E+02	-1.55166617E+02	
2.96000000E+02	-1.14292991E+02	-1.48749367E+02	
2.97000000E+02	-1.14603811E+02	1.06441276E+02	
2.98000000E+02	-1.14041934E+02	-1.12224308E+02	
2.99000000E+02	-1.13736122E+02	-8.73483623E+01	
3.00000000E+02	-1.13057210E+02	-1.75425446E+02	
3.01000000E+02	-1.12570589E+02	-2.28527894E+01	
3.02000000E+02	-1.12254642E+02	1.01238966E+01	
3.03000000E+02	-1.12131787E+02	-8.04492711E+01	
3.04000000E+02	-1.12068820E+02	6.19008767E+01	
3.05000000E+02	-1.12504089E+02	7.47534348E+01	
3.06000000E+02	-1.13188728E+02	-4.58633029E+01	
3.07000000E+02	-1.13924498E+02	5.62214772E+01	
3.08000000E+02	-1.14843020E+02	2.03314269E+01	
3.09000000E+02	-1.14873529E+02	-1.59062562E+02	
3.10000000E+02	-1.14772601E+02	-1.24879837E+02	
3.11000000E+02	-1.14239114E+02	1.29325873E+02	
3.12000000E+02	-1.13438060E+02	-1.26765496E+02	
3.13000000E+02	-1.12862044E+02	-1.71168133E+02	
3.14000000E+02	-1.12522839E+02	-1.04958101E+01	
3.15000000E+02	-1.12342578E+02	-8.53750164E+00	
3.16000000E+02	-1.12527448E+02	-1.70763426E+02	
3.17000000E+02	-1.13035597E+02	-1.40195360E+02	
3.18000000E+02	-1.13921871E+02	7.86285574E+01	
3.19000000E+02	-1.15131419E+02	1.20610226E+02	
3.20000000E+02	-1.16278372E+02	-2.40959181E+01	
3.21000000E+02	-1.16931533E+02	2.35741455E+00	
3.22000000E+02	-1.15784197E+02	-1.60786003E+02	
3.23000000E+02	-1.13522898E+02	-1.42917652E+02	
3.24000000E+02	-1.11380143E+02	5.01054877E+01	
3.25000000E+02	-1.10003952E+02	4.83015846E+01	
3.26000000E+02	-1.08926104E+02	-1.51148141E+02	
3.27000000E+02	-1.08367550E+02	1.63686449E+02	
3.28000000E+02	-1.08351259E+02	-9.02447367E+01	
3.29000000E+02	-1.08874061E+02	1.61243613E+02	
3.30000000E+02	-1.09685004E+02	-1.67512842E+02	
3.31000000E+02	-1.10584150E+02	-2.22576988E+00	
3.32000000E+02	-1.11092700E+02	-6.53489273E+01	
3.33000000E+02	-1.10707774E+02	6.72746732E-01	
3.34000000E+02	-1.09936325E+02	-1.62995104E+02	
3.35000000E+02	-1.09057437E+02	1.59033872E+02	
3.36000000E+02	-1.08708933E+02	-1.19255570E+02	
