Far field
"Plane Wave Phi"[deg]	"Magnitude [dBV]"	"Phase [deg]"	
2.86000000E+02	-1.08220744E+02	-6.04057549E+01	
2.87000000E+02	-1.09171311E+02	-3.39547566E+01	
2.88000000E+02	-1.11281439E+02	-1.28907023E+01	
2.89000000E+02	-1.13421079E+02	-4.70685241E+00	
2.90000000E+02	-1.13701169E+02	-1.34092404E+01	
2.91000000E+02	-1.11284790E+02	-1.48736083E+01	
2.92000000E+02	-1.08225684E+02	1.91614691E-01	
2.93000000E+02	-1.06210653E+02	2.23447809E+01	
2.94000000E+02	-1.04933791E+02	4.77675728E+01	
2.95000000E+02	-1.04442925E+02	7.42199807E+01	
2.96000000E+02	-1.04555602E+02	1.02605412E+02	
2.97000000E+02	-1.05242715E+02	1.31787793E+02	
2.98000000E+02	-1.06176199E+02	1.63852535E+02	
2.99000000E+02	-1.07115312E+02	-1.60262695E+02	
3.00000000E+02	-1.08285420E+02	-1.15821184E+02	
3.01000000E+02	-1.08746864E+02	-6.30066720E+01	
3.02000000E+02	-1.08520946E+02	-7.98891848E+00	
3.03000000E+02	-1.07844976E+02	4.59856911E+01	
3.04000000E+02	-1.07617361E+02	9.96984599E+01	
3.05000000E+02	-1.08204128E+02	1.57980676E+02	
3.06000000E+02	-1.08896141E+02	-1.37271183E+02	
3.07000000E+02	-1.08578495E+02	-7.01910289E+01	
3.08000000E+02	-1.08135721E+02	-1.16202641E+01	
3.09000000E+02	-1.08204963E+02	3.78438812E+01	
3.10000000E+02	-1.10159599E+02	7.37017539E+01	
3.11000000E+02	-1.12741677E+02	8.95459928E+01	
3.12000000E+02	-1.11700320E+02	9.98080607E+01	
3.13000000E+02	-1.09594522E+02	1.29862550E+02	
3.14000000E+02	-1.09442941E+02	-1.79280491E+02	
3.15000000E+02	-1.10475417E+02	-1.08672806E+02	
3.16000000E+02	-1.10012573E+02	-2.42895050E+01	
3.17000000E+02	-1.08108847E+02	5.01758594E+01	
3.18000000E+02	-1.07474439E+02	1.15299323E+02	
3.19000000E+02	-1.08949718E+02	-1.79767718E+02	
3.20000000E+02	-1.11510630E+02	-1.01949555E+02	
3.21000000E+02	-1.12606476E+02	-1.54243975E+01	
3.22000000E+02	-1.12304996E+02	5.57274823E+01	
3.23000000E+02	-1.14094470E+02	1.05945164E+02	
3.24000000E+02	-1.19570592E+02	1.28963040E+02	
3.25000000E+02	-1.19426979E+02	9.99531120E+01	
3.26000000E+02	-1.15402459E+02	1.19717307E+02	
3.27000000E+02	-1.15620912E+02	1.56415810E+02	
3.28000000E+02	-1.19744999E+02	-1.51781578E+02	
3.29000000E+02	-1.27640384E+02	-4.55000850E+00	
3.30000000E+02	-1.16104167E+02	7.75421042E+01	
3.31000000E+02	-1.12187835E+02	1.35453615E+02	
3.32000000E+02	-1.11630618E+02	-1.65350765E+02	
3.33000000E+02	-1.12825561E+02	-8.75896860E+01	
3.34000000E+02	-1.11752728E+02	4.79017827E+00	
3.35000000E+02	-1.09071006E+02	8.01642905E+01	
